Player Identifier,Position,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
richajo01,Guard,38,31:31:00,5.5,12.6,0.436,1.6,4.8,0.333,2.4,2.9,0.818,0.8,2.5,3.3,3.4,1,0.6,2.1,2.7,15,10,2,Not selected
youngth01,Forward,49,23:09,3.8,8.8,0.431,1.1,3.2,0.333,0.7,1.1,0.6,1.4,3.2,4.6,1.7,1.1,0.3,1.4,1.9,9.3,6.9,-1.7,Not selected
leverca01,Forward,21,26:43:00,5.3,13.6,0.388,1.3,3.9,0.341,2.3,3.4,0.676,0.9,2.9,3.8,3.2,0.7,0.1,2.5,1.8,14.2,7.6,-4.2,Not selected
brownja02,Forward,38,33:39:00,7.3,14.8,0.495,2.1,5.4,0.39,3.4,4.5,0.749,1.1,5.5,6.6,2.4,1.2,0.3,2.3,2.9,20.1,14.1,3.2,Not selected
redicjj01,Guard,43,27:59:00,4.8,10.7,0.454,3.1,6.7,0.465,2.8,3.2,0.89,0.2,2.6,2.8,1.9,0.3,0.2,1.2,1.5,15.6,10.8,-0.5,Not selected
lopezbr01,Center,45,26:22:00,3.7,8.9,0.416,1.4,4.7,0.297,1.4,1.6,0.859,0.6,4,4.6,1.6,0.7,2.5,0.9,2.2,10.1,8.8,8.4,Not selected
inglejo01,Forward,47,29:54:00,3.7,8.4,0.445,2.1,5.2,0.408,1.1,1.4,0.773,0.4,3.7,4.1,5,0.9,0.1,1.9,2.1,10.7,9.3,5,Not selected
covinro01,Forward,46,29:15:00,4.5,10.3,0.437,2.3,6.5,0.348,1.5,1.9,0.795,0.7,5.2,5.9,1.2,1.6,0.9,1.5,3.1,12.8,9.6,-0.3,Not selected
gordoer01,Guard,23,29:58:00,5.1,13.6,0.378,3.2,9.1,0.348,2.5,3.4,0.722,0.3,1.9,2.2,1.4,0.5,0.3,1.2,2,15.9,8.6,0,Not selected
brogdma01,Guard,34,30:18:00,6.1,13.9,0.444,1.4,4.1,0.341,3.3,3.6,0.911,0.7,3.7,4.4,7.4,0.8,0.2,2.5,1.8,17,14.1,3.2,Not selected
gordoaa01,Forward,42,31:41:00,5,12.1,0.418,1.1,3.8,0.286,2.1,3.1,0.664,1.7,5.5,7.2,2.9,0.7,0.5,1.6,2,13.3,9.9,-2.9,Not selected
haywago01,Point-Forward,30,32:26:00,6.7,13,0.517,1.5,4,0.372,2,2.3,0.87,0.9,5.3,6.2,4,0.7,0.4,1.8,1.9,17,13.9,5.8,Not selected
porteot01,Forward,9,25:05:00,3.9,9.3,0.417,1.8,4.4,0.4,1.7,2.2,0.75,0.9,2.6,3.5,1.6,1,0.3,0.8,2.2,11.2,8.1,0.8,Not selected
capelca01,Center,39,32:48:00,6.3,9.9,0.629,0,0,,1.4,2.7,0.529,4.3,9.5,13.8,1.2,0.8,1.8,1.6,2.6,13.9,15.2,1.5,Not selected
favorde01,Center,29,24:19:00,4.5,7.2,0.622,0,0.1,0.25,0.9,1.6,0.587,3.2,6.7,9.9,1.9,0.6,1.1,1.2,2.3,9.9,11.3,1.3,Not selected
hieldbu01,Guard,47,33:59:00,7.4,17.5,0.423,3.7,9.9,0.371,1.9,2.2,0.829,0.9,4.1,5,3.2,0.8,0.3,2.6,2.6,20.3,12.5,-2.2,Not selected
willilo02,Guard,44,29:59:00,6.4,15.2,0.419,1.9,5.3,0.366,5,5.8,0.87,0.4,2.6,3,6,0.6,0.2,3,1.4,19.7,13.8,3.2,Not selected
bogdabo02,Guard,46,33:15:00,7,15.4,0.453,3.2,7.5,0.422,4.1,4.5,0.909,0.6,3.5,4.1,2,0.6,0.1,2.7,1.8,21.2,13.2,7,Not selected
collijo01,Forward,22,30:15:00,7.7,14.1,0.547,1.3,3.8,0.349,2.3,2.9,0.81,2.4,7.4,9.8,1.2,0.7,1.9,1.8,3.8,19.1,15.6,-5.3,Not selected
gallida01,Forward,41,30:33:00,5.8,13.3,0.439,3.1,7.4,0.414,4.3,4.7,0.907,0.7,5,5.7,2.4,0.7,0.1,1.4,1.2,19,14.4,3.1,Not selected
harrito02,Forward,48,34:27:00,7.6,15.8,0.48,1.8,5,0.358,2.5,3.1,0.797,0.7,6,6.7,2.9,0.8,0.6,1.6,2.3,19.4,14.2,3,Not selected
harriga01,Guard,40,32:12:00,4,9.7,0.416,1.3,4.2,0.311,1.3,1.6,0.828,0.5,2.3,2.8,2.2,1.4,0.3,1,2.3,10.7,7.7,3.2,Not selected
turnemy01,Center,38,28:55:00,4.3,9.6,0.446,1.4,4.2,0.335,2.1,2.9,0.743,1.2,4.8,6,1.2,0.7,1.9,1.2,2.6,12.1,9.7,0.9,Not selected
bledser01,Guard,39,26:18:00,5.6,11.7,0.482,1.3,3.6,0.353,2.9,3.5,0.844,0.7,3.8,4.5,5.2,0.9,0.5,2.2,2.2,15.5,12.8,8.6,Not selected
vucevni01,Center,37,31:36:00,7.4,16.6,0.442,1.7,4.8,0.356,2.2,2.8,0.814,2.7,8.3,11,3.5,0.9,0.8,1.4,2.3,18.6,15.8,0.2,Not selected
russeda01,Guard,30,32:21:00,8.4,19.5,0.433,3.7,9.7,0.381,3.5,4.5,0.776,0.4,3.3,3.7,6.3,0.9,0.3,3.1,2.1,24,16.1,-6.2,Not selected
millspa01,Forward,32,24:55:00,4.1,8.8,0.468,1,2.3,0.413,2.7,3,0.885,2,3.8,5.8,1.4,0.9,0.7,1.3,2.8,11.9,9.7,6.4,Not selected
gasolma01,Center,35,27:49:00,2.8,6.6,0.424,1.4,3.5,0.403,0.7,1,0.722,0.8,5.6,6.4,3.5,0.8,0.9,1.2,2.9,7.8,7.9,6.9,Not selected
loveke01,Forward,41,31:07:00,5.8,12.9,0.45,2.5,6.6,0.375,3.3,3.9,0.843,0.8,9,9.8,2.8,0.6,0.3,2.6,1.6,17.4,13.3,-6.3,Not selected
adamsst01,Center,43,26:45:00,4.5,7.5,0.599,0,0,0,1.9,3.3,0.579,3.4,6,9.4,2.6,0.7,1.1,1.4,1.8,10.9,12.2,3,Not selected
oladivi01,Guard,1,20:57,2,8,0.25,1,7,0.143,4,4,1,0,2,2,4,0,0,2,0,9,5.6,-3,Not selected
murraja01,Guard,40,31:58:00,6.5,15,0.435,1.6,5,0.322,3,3.3,0.916,0.8,3.2,4,4.6,1.4,0.3,2.1,1.7,17.6,13.1,5,Not selected
porzikr01,Forward,36,30:20:00,5.9,14.9,0.397,2.2,6.4,0.341,2.8,3.7,0.739,1.7,7.2,8.9,1.4,0.6,2,1.7,3.1,16.8,11.7,4.2,Not selected
drumman01,Center,45,33:39:00,7.1,13.5,0.522,0,0.5,0.048,3,5.1,0.589,4.5,11.1,15.6,2.8,2.1,1.8,3.6,3.7,17.2,16.3,-2.6,Not selected
foxde01,Guard,29,31:12:00,7,14.9,0.473,0.9,3.2,0.283,4.3,6.2,0.685,0.8,3.5,4.3,7.1,1.6,0.5,3.3,3,19.2,14.8,-2.6,Not selected
mccolcj01,Guard,44,35:39:00,8.6,18.9,0.455,2.6,6.9,0.382,1.8,2.3,0.765,0.7,3.3,4,3.8,0.8,0.7,1.8,2.5,21.6,14.3,0,Not selected
derozde01,Forward,47,34:23:00,8.5,15.9,0.535,0.2,0.6,0.276,5.8,6.9,0.845,0.7,5.1,5.8,5.2,1,0.3,2.5,2.8,23,18,-2.4,Not selected
conlemi01,Guard,28,27:17:00,4.3,11.4,0.377,1.6,4.7,0.333,2.4,3.1,0.782,0.6,2.4,3,4.1,0.7,0.1,1.9,2.2,12.6,8,1.1,Not selected
holidjr01,Guard,39,35:30:00,7.9,17.7,0.445,2.1,5.9,0.357,2.2,3,0.724,1.3,3.5,4.8,6.4,1.7,0.8,2.9,2.1,20,15.4,-2,Not selected
bealbr01,Guard,39,35:29:00,9.8,21.6,0.453,2.5,7.8,0.318,6.5,7.7,0.846,1,3.4,4.4,6.3,1,0.3,3.3,2.3,28.6,20.1,-6.2,Not selected
griffbl01,Point-Forward,18,28:27:00,4.9,13.9,0.352,1.5,6.2,0.243,4.2,5.4,0.776,0.9,3.7,4.6,3.3,0.4,0.4,2.2,1.5,15.5,9.2,-1.4,Not selected
horfoal01,Center,44,31:07:00,5.1,11.4,0.451,1.4,4.3,0.321,0.9,1.2,0.722,1.6,5.1,6.7,4,1,0.9,1.1,2.2,12.5,11.5,3,Not selected
greendr01,Point-Forward,35,29:17:00,3,7.7,0.384,0.8,3.1,0.266,1.6,2.1,0.77,0.5,5.8,6.3,5.9,1.5,0.8,2.2,2.6,8.4,8.9,-5.6,Not selected
aldrila01,Center,43,33:09:00,7.4,14.6,0.51,1.2,2.8,0.429,3,3.6,0.845,2,5.5,7.5,2.3,0.6,1.7,1.4,2.5,19.1,15.8,-2.6,Not selected
irvinky01,Guard,18,33:11:00,9.7,21.2,0.459,2.7,7.1,0.375,4.7,5.1,0.924,1.1,4.1,5.2,6.6,1.4,0.5,2.3,2.6,26.8,20.8,-1.2,Not selected
townska01,Center,30,33:28:00,9.2,18.1,0.511,3.4,8.2,0.412,5,6.2,0.812,2.7,8,10.7,4.2,0.9,1.2,3.2,3.4,26.9,21.9,-0.4,Not selected
curryst01,Guard,4,28:01:00,6.8,16.5,0.409,2.2,9.2,0.243,4.5,4.5,1,1,4,5,6.5,1.2,0.5,3.8,2.5,20.2,14.7,-7.5,Not selected
